Accession,Start,Stop,Gene symbol,Strand,NCBI Gene ID,Name
NW_003571040.1,825465,825915,TRBV22-1,plus,28565,T cell receptor beta variable 22-1 (pseudogene)
NW_003571040.1,829684,830180,TRBV23-1,plus,28564,T cell receptor beta variable 23-1 (non-functional)
NW_003571040.1,839025,839501,TRBV24-1,plus,28563,T cell receptor beta variable 24-1
NW_003571040.1,848923,850317,MTRNR2L6,plus,100463482,MT-RNR2 like 6
NW_003571040.1,853401,853868,TRBV25-1,plus,28562,T cell receptor beta variable 25-1
NW_003571040.1,864027,864481,TRBVA,plus,28556,T cell receptor beta variable A (pseudogene)
NW_003571040.1,878320,878804,TRBV26,plus,28561,T cell receptor beta variable 26 (pseudogene)
NW_003571040.1,894036,894576,TRBVB,plus,28555,T cell receptor beta variable B (pseudogene)
NW_003571040.1,898042,898514,TRBV27,plus,28560,T cell receptor beta variable 27
NW_003571040.1,903333,903813,TRBV28,plus,28559,T cell receptor beta variable 28
NW_003571040.1,904907,905591,PGBD4P1,plus,107161154,piggyBac transposable element derived 4 pseudogene 1
NW_003571040.1,922937,923558,TRBV29-1,plus,28558,T cell receptor beta variable 29-1
NW_003571040.1,932140,935740,PRSS1,plus,5644,serine protease 1
NW_003571040.1,943081,946647,PRSS3P1,plus,168330,PRSS3 pseudogene 1
NW_003571040.1,953574,957217,PRSS3P2,plus,154754,PRSS3 pseudogene 2
NW_003571040.1,963749,967318,TRY7,plus,207148,trypsinogen D
NW_003571040.1,974014,977604,PRSS2,plus,5645,serine protease 2
NW_003571040.1,981687,982582,WBP1LP1,minus,106479029,WBP1L pseudogene 1
NW_003571040.1,989257,989268,TRBD1,plus,28637,T cell receptor beta diversity 1
NW_003571040.1,989924,989971,TRBJ1-1,plus,28635,T cell receptor beta joining 1-1
NW_003571040.1,990061,990108,TRBJ1-2,plus,28634,T cell receptor beta joining 1-2
NW_003571040.1,990674,990723,TRBJ1-3,plus,28633,T cell receptor beta joining 1-3
NW_003571040.1,991269,991319,TRBJ1-4,plus,28632,T cell receptor beta joining 1-4
NW_003571040.1,991542,991591,TRBJ1-5,plus,28631,T cell receptor beta joining 1-5
NW_003571040.1,992032,992084,TRBJ1-6,plus,28630,T cell receptor beta joining 1-6
NW_003571040.1,994738,996185,TRBC1,plus,28639,T cell receptor beta constant 1
NW_003571040.1,998749,998764,TRBD2,plus,28636,T cell receptor beta diversity 2
NW_003571040.1,999409,999458,TRBJ2-1,plus,28629,T cell receptor beta joining 2-1
NW_003571040.1,999604,999654,TRBJ2-2,plus,28628,T cell receptor beta joining 2-2
NW_003571040.1,999741,999786,TRBJ2-2P,plus,28627,T cell receptor beta joining 2-2P (non-functional)
NW_003571040.1,999891,999939,TRBJ2-3,plus,28626,T cell receptor beta joining 2-3
NW_003571040.1,1000042,1000091,TRBJ2-4,plus,28625,T cell receptor beta joining 2-4
NW_003571040.1,1000163,1000210,TRBJ2-5,plus,28624,T cell receptor beta joining 2-5
NW_003571040.1,1000283,1000335,TRBJ2-6,plus,28623,T cell receptor beta joining 2-6
NW_003571040.1,1000500,1000546,TRBJ2-7,plus,28622,T cell receptor beta joining 2-7
NW_003571040.1,1004085,1005573,TRBC2,plus,28638,T cell receptor beta constant 2
NW_003571040.1,1015630,1016331,TRBV30,minus,28557,T cell receptor beta variable 30 (gene/pseudogene)
NW_003571040.1,1058203,1074207,EPHB6,plus,2051,EPH receptor B6
NW_003571040.1,1074321,1088856,TRPV6,minus,55503,transient receptor potential cation channel subfamily V member 6
